"spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::1","spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::element"
"spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::e","spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::o","spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#visitCtAnnotation(spoon.reflect.declaration.CtAnnotation)::1","spoon.reflect.visitor.CtScanner#visitCtAnnotation(spoon.reflect.declaration.CtAnnotation)::annotation"
"spoon.reflect.visitor.CtScanner#visitCtAnnotation(spoon.reflect.declaration.CtAnnotation)::annotation","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::annotation"
"spoon.reflect.visitor.CtScanner#visitCtAnnotation(spoon.reflect.declaration.CtAnnotation)::annotation","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotation"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationFieldAccess(spoon.reflect.code.CtAnnotationFieldAccess)::1","spoon.reflect.visitor.CtScanner#visitCtAnnotationFieldAccess(spoon.reflect.code.CtAnnotationFieldAccess)::annotationFieldAccess"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationFieldAccess(spoon.reflect.code.CtAnnotationFieldAccess)::annotationFieldAccess","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::annotationFieldAccess"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationFieldAccess(spoon.reflect.code.CtAnnotationFieldAccess)::annotationFieldAccess","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationFieldAccess"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationMethod(spoon.reflect.declaration.CtAnnotationMethod)::1","spoon.reflect.visitor.CtScanner#visitCtAnnotationMethod(spoon.reflect.declaration.CtAnnotationMethod)::annotationMethod"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationMethod(spoon.reflect.declaration.CtAnnotationMethod)::annotationMethod","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::annotationMethod"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationMethod(spoon.reflect.declaration.CtAnnotationMethod)::annotationMethod","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationMethod"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationType(spoon.reflect.declaration.CtAnnotationType)::1","spoon.reflect.visitor.CtScanner#visitCtAnnotationType(spoon.reflect.declaration.CtAnnotationType)::annotationType"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationType(spoon.reflect.declaration.CtAnnotationType)::annotationType","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::annotationType"
"spoon.reflect.visitor.CtScanner#visitCtAnnotationType(spoon.reflect.declaration.CtAnnotationType)::annotationType","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationType"
